TKT879,SPOT1,ABC123,2025-12-17T01:17:30.89914,2025-12-17T01:17:57.4165678,5.0,true
TKT6047,SPOT1,ABC123,2025-12-17T01:18:06.0478503,,0.0,false
TKT5353,SPOT2,ABC123,2025-12-17T20:45:45.4009982,2025-12-17T20:46:52.875431,5.0,true
TKT5425,SPOT2,ABC123,2025-12-17T21:35:15.4734963,,0.0,false
TKT5179,SPOT3,ABC123,2025-12-17T21:36:15.2257435,,0.0,false
TKT3055,SPOT4,ABC123,2025-12-17T22:35:03.0813411,2025-12-17T22:35:51.3097535,5.0,true
TKT5297,SPOT4,ABC123,2025-12-17T22:35:55.2970055,,0.0,false
TKT3309,SPOT5,ABC123,2025-12-17T22:38:13.3329367,,0.0,false
TKT1321,SPOT6,ABC123,2025-12-17T22:47:21.3472177,,0.0,false
TKT9674,SPOT7,ABC123,2025-12-17T23:52:29.6938073,,0.0,false
TKT6873,SPOT8,ABC123,2025-12-18T01:10:56.9257422,2025-12-18T01:11:12.1136614,5.0,true
